Dish name,Dish ID,Ingredients,Raw ingredient name (from Ingredients),Cuisine,Timing,Serving size,Content,Dish type,Food group,Steps,Pre prep,Leftover recycle suggestion,Allergen info,Meals 2
Coffee Oats Smoothie,75,"Rolled Oats,Dates,Cashew,Water,Banana,Instant Coffee Powder","Rolled Oats, Dates, Cashew, Water, Banana, Instant Coffee Powder",Continental,Pre Breakfast,1 glass,https://www.instagram.com/reel/Cslb3-CArf0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Smoothies,Plant-based,"Combine oats, cashew and dates in a mug. 
Add hot water. Cover and soak for 10 - 15 minutes. 
Transfer to a blender once it cools down.
Add banana, coffee and blend.
Coffee Oats Smoothie is ready!",,,"Gluten Free, Wheat Free, Dairy Free
Egg Free, Fish Free, Mustard Free, Soy Free",
Corn Chaat,66,"Sweet Corn,Peanuts,Onion,Cucumber,Tomato,Green Chilli,Salt (Rock/Pink Himalayan),Chaat Masala,Black Pepper Powder,Red Chilli Flakes,Lemon,Coriander Leaves","Sweet Corn, Peanuts, Onion, Cucumber, Tomato, Green Chilli, Salt (Rock/Pink Himalayan), Chaat Masala, Black Pepper Powder, Red Chilli Flakes, Lemon, Coriander Leaves",Indian,Tea Time,2 adults,https://youtu.be/sF3droMGLlQ?si=wTmETcFTLurAZONV,Snack,Vegetarian,"Boil water in a saucepan along with ginger, garlic, black peppercorns, bay leaf, and salt. Once the water starts boiling add corn kernels. Boil them for 3 – 5 minutes or till they are tender and cooked.
If you are using whole corn cob, then you can boil the cob in seasoned water and later scrape the kernels from the cob for making the chaat.
Next, transfer boiled corn kernels to a colander. Drain all the water. 
Combine sweet corn kernels, chopped onion, garlic, green chili, green onion spices, salt, lemon juice, and fresh coriander. Mix nicely. Taste and if required add more salt.
Corn Chaat is ready to serve.",,Add leftover sweet corn to soups or sandwich filling. ,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Cucumber sticks,12,Cucumber,Cucumber,Mediterranean,Tea Time,,,Snack,"Vegetarian,Plant-based",,,,,
Fresh coconut water,14,Tender Coconut,Tender Coconut,Indian,All Day,2 adults,,Beverages,Plant-based,,,,,
Hummus,13,"Boiled Chickpeas Water,Chickpea (White kabuli chana),Cumin Powder (jeera powder),Garlic,Lemon,Extra Virgin Olive Oil,Salt (Rock/Pink Himalayan),Tahini Paste (white sesame seeds paste)","Boiled Chickpeas Water, Chickpea (White kabuli chana), Cumin Powder (jeera powder), Garlic, Lemon, Extra Virgin Olive Oil, Salt (Rock/Pink Himalayan), Tahini Paste (white sesame seeds paste)",Mediterranean,Tea Time,1 Cup,Hummus.m4a,Snack,"Vegetarian,Plant-based","Reserve the boiled chickpea liquid. Keep it in the refrigerator to get chilled.
Transfer cooked chickpeas, crushed garlic, salt, cumin powder, olive oil, lemon juice, and tahini paste to a blender or food processor. 
Blend the ingredients using chilled, boiled chickpeas water until you get a creamy texture. If the hummus seems too thick, add more olive oil or the reserved liquid from the boiled chickpeas. Scarpe the sides of the food processor and blend to get the perfect consistency and texture.
Once the hummus is smooth and creamy, transfer to a serving bowl. ","To boil chickpeas, rinse and soak them in water for 5 – 6 hours. 
After 5 – 6 hours drain the water from the soaked chickpeas. Transfer them to a pressure cooker. Add approximately 2 Cups of water, baking soda, and a teaspoon of salt. 
Close the lid of the pressure cooker. Cook the chickpeas over medium heat for till well done. Slightly mushy or over-cooked chickpeas are best to make a creamy hummus. 
Transfer the boiled chickpeas to a colander. Allow them to cool down completely. ",Use leftover hummus as sandwich spread. ,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free",
Kachumber salad,10,"Black Pepper Powder,Carrot,Chaat masala,Cucumber,Cumin Powder (jeera powder),Coriander Leaves,Mint Leaves,Green Chilli,Lemon,Onion,Roasted Peanuts,Red Chilli Powder,Salt (Rock/Pink Himalayan),Tomato","Black Pepper Powder, Carrot, Chaat masala, Cucumber, Cumin Powder (jeera powder), Coriander Leaves, Mint Leaves, Green Chilli, Lemon, Onion, Roasted Peanuts, Red Chilli Powder, Salt (Rock/Pink Himalayan), Tomato",Indian,Lunch,2 Cups,https://www.youtube.com/watch?v=5Cr3p9PIuQI,Salad,"Vegetarian,Plant-based","Wash, pat dry, and chop all the vegetables.
Add all the ingredients to a large salad mixing bowl along with spices, salt, lemon juice, and fresh herbs.
Gently mix all the salad ingredients. Kachumber Salad is ready to serve!",,Use leftover kachumber salad as filling for sandwiches or wraps/frankie. ,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free",
Kakdi Chi Koshimbir ,17,"Fresh Coconut,Cucumber,Curry leaves,Coriander Leaves,Green Chilli,Groundnut Oil,Jaggery Powder,Mustard Seeds (rai),Peanuts,Salt (Rock/Pink Himalayan),White Urad Dal","Fresh Coconut, Cucumber, Curry leaves, Coriander Leaves, Green Chilli, Groundnut Oil, Jaggery Powder, Mustard Seeds (rai), Peanuts, Salt (Rock/Pink Himalayan), White Urad Dal",Indian,Lunch,2 adults,https://youtu.be/hJSd2geRX18?si=DpiSXJd2c9Lngc6a,Salad,"Vegetarian,Plant-based","Chop the cucumbers. Transfer them to a large mixing bowl. Season them with salt, mix, and set aside for 10 minutes.
Squeeze water from the cucumber by cupping them between your palms or holding them in your fist. Or you can tie them to a muslin cloth and squeeze gently to drain out excess liquid. Transfer cucumber to a bowl.
Add chopped green chilli, grated coconut, salt, lemon juice, and sugar to the cucumber. Mix nicely.
Prepare tadka with heating oil. Add mustard seeds, urad dal, and curry leaves. Allow the seeds to pop.
Pour this sizzling tadka over the khamang kakdi. Add crushed peanuts and chopped coriander, and mix nicely.
Khamang Kakdi is ready to serve.",,,"Gluten Free, Dairy Free, 
Soy Free,
Wheat Free, Egg Free, 
Fish Free",
Lukewarm Cinnamon Water,56,"Cinnamon sticks,Water","Cinnamon sticks, Water",Indian,All Day,1 Mug,https://youtu.be/yrOpFJnzXDI?si=62gMCyAAOsiIIozN,Beverages,Plant-based,"Boil cinnamon stick in water till the colour of the water change sto light brown. 
Add a drizzle of honey or enjoy as it is as warm tea. ",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Moong Dal Cheela with Paneer Stuffing,19,"Curry leaves,Ginger,Green Chilli,Groundnut Oil,Hing (Asafoetida),Fenugreek Seeds (Methi dana),Mustard Seeds (rai),Paneer,Red Chilli Powder,Salt (Rock/Pink Himalayan),Turmeric Powder,Water,Yellow Moong Dal","Curry leaves, Ginger, Green Chilli, Groundnut Oil, Hing (Asafoetida), Fenugreek Seeds (Methi dana), Mustard Seeds (rai), Paneer, Red Chilli Powder, Salt (Rock/Pink Himalayan), Turmeric Powder, Water, Yellow Moong Dal",Indian,Breakfast,6 cheela,https://youtu.be/vIIq1sLMR0E?si=ak1kHhXlE5T38uah,Mains,"Vegetarian,Plant-based","How To Prepare Cheela Batter:
Drain water from the soaked dal. Grind it to a smooth paste along with green chili, and ginger. The batter should be smooth dosa batter like consistency.
Transfer the batter to a mixing bowl. Add spices, salt and whisk for next 5 – 10 minutes using a hand mixer or wire whisk. Set aside till required.
How To Prepare Cheela Stuffing:
Heat oil in a frying pan or kadhai.
Add mustard seeds, curry leaves, and grated ginger. Fry for 1 – 2 seconds or till seeds start spluttering. 
Add chopped onion and fry the onion for 1 – 2 minute. 
Next, add the boiled potatoes and mash them nicely to avoid any lumps. 
Add salt, spices, coriander, seeds, and mix nicely. Turn off the heat. Transfer potato stuffing to a bowl. 
How To Make Cheela:
Heat a heavy bottom non-stick pan. Once pan is hot enough sprinkle water to cool it down (watch video) and grease it with a teaspoon of oil/ghee.
Pour a ladle full of batter in the centre of the pan. Using the back of the ladle, spread the batter in circular motion into a thin round.
Drizzle a teaspoon of oil on the sides of the cheela and cook on medium heat till the underside is done. Once the edges start to brown then insert the spatula under the edges of the cheela to loosen. Carefully flip over, and cook for a minute or so from the other side.
Once again flip the cheela, spread ¼ Cup of of potato stuffing on one side of the cheela.
Cover the stuffing with the other half of the cheela. Transfer to a plate.
Serve Moong Dal Cheela with homemade green chutney.",Wash and soak the moong dal along with fenugreek seeds in water for 3 – 4 hours.,Use leftover cheela stuffing for sandwiches or wraps. ,"Gluten Free, 
Soy Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Moong Dal Kosambari,20,"Black Pepper Powder,Cucumber,Cumin Powder (jeera powder),Curry leaves,Coriander Leaves,Coconut,Green Chilli,Hing (Asafoetida),Lemon,Mustard Seeds (rai),Pomegranate,Peanuts,Salt (Rock/Pink Himalayan),Sesame Oil,Yellow Moong Dal","Black Pepper Powder, Cucumber, Cumin Powder (jeera powder), Curry leaves, Coriander Leaves, Coconut, Green Chilli, Hing (Asafoetida), Lemon, Mustard Seeds (rai), Pomegranate, Peanuts, Salt (Rock/Pink Himalayan), Sesame Oil, Yellow Moong Dal",Indian,Lunch,2 adults,https://drive.google.com/file/d/1dplfJB0AzDMMZvOxshR6J2-adXK2m1PI/view,Salad,"Vegetarian,Plant-based","Next day, drain all the water and rinse it nicely with clean filtered water. 
Combine diced cucumbers, crushed peanuts, grated coconut, rinsed moong dal, green chilli, salt, sugar, hing, and spices. Gently toss them.
Heat oil in a small tadka pan. Add black mustard seeds, curry leaves, and once the seeds start popping, pour this tadka over the salad.
Add lemon juice, pomegranate, and chopped fresh coriander. Toss Kosambari Salad gently. I
Kosambari Salad is ready to serve.",Rinse and soak yellow moong dal for 8 hours in water or best overnight. ,,"Gluten Free, Dairy Free
Soy Free,
Wheat Free, Egg Free, 
Fish Free",
Paneer Pepper Dip,57,"Red Bell Pepper,Paneer,Garlic,Walnuts ,Sumac ,Salt (Rock/Pink Himalayan),Red Chilli Powder,Cumin Powder (jeera powder),Extra Virgin Olive Oil,Lemon","Red Bell Pepper, Paneer, Garlic, Walnuts , Sumac , Salt (Rock/Pink Himalayan), Red Chilli Powder, Cumin Powder (jeera powder), Extra Virgin Olive Oil, Lemon",Continental,Tea Time,1 Cup,https://www.instagram.com/reel/CzLwL7jBSe9/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Side,Vegetarian,"Roast bell pepper on gas flame/oven/BBQ/pan till it is nicely charred. 
Transfer to a bowl full of water. Remove the charred skin. Cut. Discard seeds.
Blend roasted pepper, paneer and other ingredients to a smooth dip. 
Taste and if required add more seasoning. 
Serve with cucumber sticks. ",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free",
Peanut Sundal,46,"Peanuts,Water,Salt (Rock/Pink Himalayan),Oil (Sesame/Coconut/Groundnut),Mustard Seeds (rai),White Urad Dal,Hing (Asafoetida),Dried Red Chilli,Curry leaves,Ginger,Coriander Leaves,Fresh Coconut","Peanuts, Water, Salt (Rock/Pink Himalayan), Oil (Sesame/Coconut/Groundnut), Mustard Seeds (rai), White Urad Dal, Hing (Asafoetida), Dried Red Chilli, Curry leaves, Ginger, Coriander Leaves, Fresh Coconut",Indian,Tea Time,2 adults,https://youtu.be/IK-vvHt_i98?si=pz8U_o0sVTlllHUh,Snack,"Vegetarian,Plant-based","in a large kadai heat 3 tsp oil and splutter 1 tsp mustard, 1 tsp urad dal, pinch hing, 2 dried red chilli and few curry leaves.
add 1 inch ginger and saute slightly.
further, add in boiled peanuts and ¼ tsp salt. saute for a minute.
now add 3 tbsp coconut and mix well until flavours are absorbed.
finally, enjoy peanut sundal immediately or serve for prasadam.","In a large bowl take raw peanuts and soak in enough water for 2 hours. you can skip soaking step if you are using fresh peanuts.
Drain off the water and transfer to the pressure cooker.
add ¾ cup water and ¾ tsp salt.
pressure cook for 3 whistles or until the peanuts are softened.
drain off the water and keep aside. Allow to cool down.",,"Gluten Free, Dairy Free
Wheat Free, Egg Free, 
Fish Free, Mustard Free",
Starwberry Milkshake Chia Pudding,76,"Strawberry,Rolled Oats,Milk (Dairy or Non Dairy),Chia Seeds,Honey/Maple Syrup","Strawberry, Rolled Oats, Milk (Dairy or Non Dairy), Chia Seeds, Honey/Maple Syrup",Continental,Pre Breakfast,2 Cups,https://www.instagram.com/reel/C1oru-mpNEL/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Smoothies,Vegetarian,"Combine strawberries, oats, milk in a blender.
Blend to a smooth consistency. 
Transfer to a jar or container with lid. 
Add sweetener and chia seeds. Mix nicely.
Refrigerate overnight for chia seeds to soak up the liquid. 
Enjoy for breakfast. Top it with fresh strawberries. ",,,"Gluten Free, Wheat Free,
Egg Free, 
Fish Free, Mustard Free, Soy Free",
Suji Gud Halwa ,79,"Rava (Semolina/Suji),Ghee,Jaggery Powder,Green Cardamom Powder (Elaichi Powder),Water,Golden Raisins,Almonds,Pumpkin Seeds","Rava (Semolina/Suji), Ghee, Jaggery Powder, Green Cardamom Powder (Elaichi Powder), Water, Golden Raisins, Almonds, Pumpkin Seeds",Indian,Sweets,4 adults,https://youtu.be/NxkKh2I8TyE?si=WluyPCxRKaA7GVfO,Side,Vegetarian,"In a pot, add water, jaggery and mix well. 
Bring it to boil and cook on medium flame for 2 minutes then strain jaggery (gur) syrup & set aside.
In a kadhai, add ghee & let it melt.
Add semolina, mix well & cook on low flame until its fragrant & changes color (16-18 minutes) and stir continuously.
Gradually add prepared jaggery syrup,mix well and cook on low flame until it thickens (add water If required).
Add cardamom powder,raisins,almonds, pumpkin seeds, and mix well. 
Cover & simmer on low flame for 2 minutes.
Serve Suji Gud Halwa warm. ",,,"Egg Free, 
Fish Free, Mustard Free, Soy Free",
Whole Wheat Methi Paratha,65,Whole Wheat Flour,Whole Wheat Flour,Indian,Lunch,6 chapati,,Mains,Vegetarian,,,,,
Adraki Aloo Gobi,81,"Cauliflower,Potato,Ginger,Ginger,Tomato,Green Chilli,Mustard Oil,Cumin Seeds,Hing (Asafoetida),Coriander Powder,Red Chilli Powder,Turmeric Powder,Water,Dried Fenugreek Leaves (Kasuri Methi),Coriander Leaves","Cauliflower, Potato, Ginger, Ginger, Tomato, Green Chilli, Mustard Oil, Cumin Seeds, Hing (Asafoetida), Coriander Powder, Red Chilli Powder, Turmeric Powder, Water, Dried Fenugreek Leaves (Kasuri Methi), Coriander Leaves",Indian,Lunch,2 adults,https://youtu.be/WXQnh5pHu48?si=Pbuk-3I7ZEPeDhXh,Mains,Plant-based,"Heat oil in a kadhai, add cumin seeds, asafoetida, green chilli, grated ginger. Saute for 10 - 20 seconds.
Add 2 tablespoons of water to prevent masala from burning. 
Add cauliflower florets, potato, spices, salt and stir to combine nicely. 
Add diced tomato, ginger juliennes, kasuri methi. Cover and cook over low heat till cauliflower is done. 
Once cauliflower is fully cooked, add chopped fresh coriander. 
Serve Adraki Aloo Gobi warm with chapati.",,,"Gluten Free, Wheat Free, Egg Free, 
Fish Free, Mustard Free, Soy Free, Nut Free",
Aloo Ki Tariwali Sabzi ,64,"Ginger,Green Chilli,Coriander Leaves,Mustard Oil,Cumin Seeds,Dried Fenugreek Leaves (Kasuri Methi),Red Chilli Powder,Cumin Powder (jeera powder),Tomato,Potato,Salt (Rock/Pink Himalayan),Water,Coriander Powder","Ginger, Green Chilli, Coriander Leaves, Mustard Oil, Cumin Seeds, Dried Fenugreek Leaves (Kasuri Methi), Red Chilli Powder, Cumin Powder (jeera powder), Tomato, Potato, Salt (Rock/Pink Himalayan), Water, Coriander Powder",Indian,Lunch,2 adults,https://youtu.be/oGqitjsaR4k?si=oee_om91VbCYTFfn,Mains,Vegetarian,"In a mortar pestle take ginger, green chilli and coriander leaves. Crush and coarsely paste the masala. keep aside. 
In a kadai heat oil. add cumin, kasuri methi and saute until it turns aromatic. 
Add crushed coriander paste and saute slightly. now keeping the flame on low, 
Add chilli powder, cumin powder. saute until the spices turn aromatic. 
Add tomatoes and saute well. cover and cook until the tomatoes turn soft and mushy. Now add boiled potato, salt. Saute for a minute or until the spices are well combined with aloo. further, add 2 cup water and mix well adjusting the consistency. cover and boil for 5 minutes, or until the flavours are absorbed well. 
Garnish with fresh coriander leaves. Serve hot!
","Boil the potatoes. 
Remove the skin.
Roughly chop them.",,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Apple Slices with Peanut Butter,4,"Apple,Peanut Butter","Apple, Peanut Butter",Continental,All Day,2 adults,https://youtube.com/shorts/2KKFzO5AVRQ?si=HUrsbtHfidH4G0B3,Snack,"Vegetarian,Plant-based","Cut apple into slices. 
Dip peanut butter on each slice or you can dip it in peanut butter. Enjoy as a snack. ",,,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free",
Bathua Saag,90,"Bathua ,Ghee,Cumin Seeds,Fenugreek Seeds (Methi dana),Hing (Asafoetida),Onion,Ginger Garlic Paste,Dried Red Chilli,Tomato,Salt (Rock/Pink Himalayan),Turmeric Powder,Red Chilli Powder,Coriander Powder,Garam Masala Powder","Bathua , Ghee, Cumin Seeds, Fenugreek Seeds (Methi dana), Hing (Asafoetida), Onion, Ginger Garlic Paste, Dried Red Chilli, Tomato, Salt (Rock/Pink Himalayan), Turmeric Powder, Red Chilli Powder, Coriander Powder, Garam Masala Powder",Indian,Lunch,2 adults,https://www.youtube.com/watch?v=pXwPrEChS70,Mains,"Vegetarian,Plant-based","Heat ghee in a kadhai.
Add cumin, fenugreek, hing, and onion. Fry them till onion become light golden. 
Add ginger garlic paste, tomato, salt, and spices. Mix and cook the masala over low heat till tomatoes are nicely mashed up. 
Add green puree. Mix. Taste and if required add more salt or spices. 
Cover and cook over low heat for 10 minutes. 
Bathua Saag is ready!","Clean bathua leaves. Remove the stems.
Wash it nicely in running water to get rid of mud and dirt particles.
Blanch bathua leaves in hot water and allow to cool. 
Blend it to a smooth puree. Do not add any water while blending.",Add leftover bathua puree to raita or paratha dough. ,"Gluten Free, Wheat Free, Nut Free, Soy Free, Egg Free, Fish Free",
